"exp","sample","dpi","synID","comID","syncom","strain","taxa","channel","cfu","cfu_log"
"e1","1","14dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",189000000,8.27646180417324
"e1","2","14dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",118000000,8.07188200730613
"e1","3","14dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",79900000,7.90254677931399
"e1","4","14dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",179000000,8.25285303097989
"e2","1","14dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",65400000,7.81557774832427
"e2","2","14dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",124000000,8.09342168516224
"e2","3","14dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",97300000,7.98811284026835
"e2","4","14dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",89100000,7.94987770403687
"e1","1","07dpi","C","Com07","C.07","mr01","Methylobacterium","C0",28200000,7.45024910831936
"e1","2","07dpi","C","Com07","C.07","mr01","Methylobacterium","C0",8410000,6.92479599579791
"e1","3","07dpi","C","Com07","C.07","mr01","Methylobacterium","C0",613000,5.78746047451842
"e1","4","07dpi","C","Com07","C.07","mr01","Methylobacterium","C0",9520000,6.97863694838447
"e2","1","07dpi","C","Com07","C.07","mr01","Methylobacterium","C0",31900000,7.50379068305718
"e2","2","07dpi","C","Com07","C.07","mr01","Methylobacterium","C0",38200000,7.58206336291171
"e2","3","07dpi","C","Com07","C.07","mr01","Methylobacterium","C0",30200000,7.48000694295715
"e2","4","07dpi","C","Com07","C.07","mr01","Methylobacterium","C0",49300000,7.69284691927723
"e1","1","07dpi","C","Com07","C.07","mr01","Methylobacterium","C1",15400000,7.18752072083646
"e1","2","07dpi","C","Com07","C.07","mr01","Methylobacterium","C1",4090000,6.61172330800734
"e1","3","07dpi","C","Com07","C.07","mr01","Methylobacterium","C1",385000,5.5854607295085
"e1","4","07dpi","C","Com07","C.07","mr01","Methylobacterium","C1",11600000,7.06445798922692
"e2","1","07dpi","C","Com07","C.07","mr01","Methylobacterium","C1",19200000,7.28330122870355
"e2","2","07dpi","C","Com07","C.07","mr01","Methylobacterium","C1",44600000,7.64933485871214
"e2","3","07dpi","C","Com07","C.07","mr01","Methylobacterium","C1",16600000,7.22010808804005
"e2","4","07dpi","C","Com07","C.07","mr01","Methylobacterium","C1",40400000,7.6063813651106
