"exp","synID","comID","taxa","dpi","sample","cfu_total","log_total"
"e1","S3","Com10","Methylobacterium","07dpi","4",10072000,7.00311571709981
"e1","S3","Com10","Methylobacterium","14dpi","1",16760000,7.22427401429426
"e1","S3","Com10","Methylobacterium","14dpi","2",8614000,6.93520486742658
"e1","S3","Com10","Methylobacterium","14dpi","3",13920000,7.14363923527454
"e1","S3","Com10","Methylobacterium","14dpi","4",9472000,6.97644168937884
"e2","C","Com01","Methylobacterium","07dpi","1",1879000,6.27392678010053
"e2","C","Com01","Methylobacterium","07dpi","2",7630000,6.88252453795488
"e2","C","Com01","Methylobacterium","07dpi","3",6930000,6.84073323461181
"e2","C","Com01","Methylobacterium","07dpi","4",6260000,6.79657433321043
"e2","C","Com01","Methylobacterium","14dpi","1",70100000,7.84571801796666
"e2","C","Com01","Methylobacterium","14dpi","2",68800000,7.83758843823551
"e2","C","Com01","Methylobacterium","14dpi","3",72800000,7.86213137931304
"e2","C","Com01","Methylobacterium","14dpi","4",68100000,7.83314711191279
"e2","C","Com04","Methylobacterium","07dpi","1",119100000,8.07591176148278
"e2","C","Com04","Methylobacterium","07dpi","2",66500000,7.8228216453031
"e2","C","Com04","Methylobacterium","07dpi","3",66700000,7.82412583391655
"e2","C","Com04","Methylobacterium","07dpi","4",15960000,7.20303288701471
"e2","C","Com04","Methylobacterium","14dpi","1",62400000,7.79518458968242
"e2","C","Com04","Methylobacterium","14dpi","2",96700000,7.985426474083
"e2","C","Com04","Methylobacterium","14dpi","3",110700000,8.04414762087872
"e2","C","Com04","Methylobacterium","14dpi","4",79500000,7.90036712865647
"e2","C","Com07","Methylobacterium","07dpi","1",51100000,7.70842090013471
"e2","C","Com07","Methylobacterium","07dpi","2",82800000,7.91803033678488
"e2","C","Com07","Methylobacterium","07dpi","3",46800000,7.67024585307412
"e2","C","Com07","Methylobacterium","07dpi","4",89700000,7.95279244304409
"e2","C","Com10","Sphingomonas","07dpi","1",3800000,6.57978359661681
"e2","C","Com10","Sphingomonas","07dpi","2",4e+06,6.60205999132796
"e2","C","Com10","Sphingomonas","07dpi","3",5400000,6.73239375982297
"e2","C","Com10","Sphingomonas","07dpi","4",6400000,6.80617997398389
"e2","C","Com10","Sphingomonas","14dpi","1",28200000,7.45024910831936
"e2","C","Com10","Sphingomonas","14dpi","2",3.8e+07,7.57978359661681
"e2","C","Com10","Sphingomonas","14dpi","3",15800000,7.19865708695442
"e2","C","Com10","Sphingomonas","14dpi","4",2.2e+07,7.34242268082221
"e2","C","Com13","Sphingomonas","07dpi","1",7.9e+07,7.89762709129044
"e2","C","Com13","Sphingomonas","07dpi","2",38800000,7.58883172559421
"e2","C","Com13","Sphingomonas","07dpi","3",38400000,7.58433122436753
"e2","C","Com13","Sphingomonas","07dpi","4",40700000,7.60959440922522
"e2","S2","Com02","Methylobacterium","07dpi","1",26030000,7.41547416810924
"e2","S2","Com02","Methylobacterium","07dpi","2",14390000,7.1580607939366
"e2","S2","Com02","Methylobacterium","07dpi","3",43930000,7.64276120326532
"e2","S2","Com02","Methylobacterium","07dpi","4",9.2e+07,7.96378782734556
