"","syncom","strain","dpi","r","type","fraction"
"376","C.01","meL85","07dpi",25,"aggregate_fraction",0
"377","C.01","meL85","07dpi",25,"regular_fraction",0.795698924731183
"378","C.01","meL85","07dpi",25,"random_fraction",0.204301075268817
"379","C.01","meL85","07dpi",25.2,"aggregate_fraction",0
"380","C.01","meL85","07dpi",25.2,"regular_fraction",0.806451612903226
"381","C.01","meL85","07dpi",25.2,"random_fraction",0.193548387096774
"382","C.01","meL85","07dpi",25.4,"aggregate_fraction",0
"383","C.01","meL85","07dpi",25.4,"regular_fraction",0.817204301075269
"384","C.01","meL85","07dpi",25.4,"random_fraction",0.182795698924731
"385","C.01","meL85","07dpi",25.6,"aggregate_fraction",0
"386","C.01","meL85","07dpi",25.6,"regular_fraction",0.806451612903226
"387","C.01","meL85","07dpi",25.6,"random_fraction",0.193548387096774
"388","C.01","meL85","07dpi",25.8,"aggregate_fraction",0
"389","C.01","meL85","07dpi",25.8,"regular_fraction",0.817204301075269
"390","C.01","meL85","07dpi",25.8,"random_fraction",0.182795698924731
"391","C.01","meL85","07dpi",26,"aggregate_fraction",0
"392","C.01","meL85","07dpi",26,"regular_fraction",0.817204301075269
"393","C.01","meL85","07dpi",26,"random_fraction",0.182795698924731
"394","C.01","meL85","07dpi",26.2,"aggregate_fraction",0
