"exp","dpi","synID","comID","syncom","strain","rep","cell","total_area","cell_area","logCell"
"e2","14dpi","S2","Com08","S2.08","meL85",1,14799,0.00250479712,5908262.94147128,6.77145981492173
"e2","14dpi","S2","Com08","S2.08","meL85",2,6679,0.00250479712,2666483.42361556,6.42593888820466
"e2","14dpi","S2","Com08","S2.08","meL85",3,8195,0.00250479712,3271722.0626635,6.51477640264644
"e2","14dpi","S2","Com08","S2.08","meL85",4,5048,0.00250479712,2015332.88252902,6.304346790976
"e2","14dpi","S2","Com08","S2.08","smfr1",1,10844,0.00250479712,4329292.74527432,6.63641695364837
"e2","14dpi","S2","Com08","S2.08","smfr1",2,13076,0.00250479712,5220382.87875387,6.71770235664825
"e2","14dpi","S2","Com08","S2.08","smfr1",3,5958,0.00250479712,2378635.7595301,6.37632794361895
"e2","14dpi","S2","Com08","S2.08","smfr1",4,3638,0.00250479712,1452413.04014275,6.16209013946739
"e2","14dpi","S2","Com09","S2.09","mr01",1,20275,0.002630036976,7709017.091781,6.88699900855318
"e2","14dpi","S2","Com09","S2.09","mr01",2,13433,0.00250479712,5362909.39203891,6.72940045948965
"e2","14dpi","S2","Com09","S2.09","mr01",3,12210,0.00250479712,4874646.29470669,6.6879431086848
"e2","14dpi","S2","Com09","S2.09","mr01",4,9929,0.00250479712,3963993.69861939,6.59813295543559
"e2","14dpi","S2","Com09","S2.09","smfr1",1,5636,0.002630036976,2142935.65125907,6.3310091301073
"e2","14dpi","S2","Com09","S2.09","smfr1",2,3807,0.00250479712,1519883.57444295,6.18181032155429
"e2","14dpi","S2","Com09","S2.09","smfr1",3,5739,0.00250479712,2291203.52869138,6.36006366948688
"e2","14dpi","S2","Com09","S2.09","smfr1",4,9564,0.00250479712,3818273.31388819,6.58186701218366
"e2","14dpi","S2","Com11","S2.11","smfr1",1,1969,0.00250479712,786091.609686935,5.89547316087804
"e2","14dpi","S2","Com11","S2.11","smfr1",2,6192,0.00250479712,2472056.49933037,6.39305839241476
"e2","14dpi","S2","Com11","S2.11","smfr1",3,1899,0.00250479712,758145.234533007,5.87975240947694
"e2","14dpi","S2","Com11","S2.11","smfr1",4,3240,0.00250479712,1293517.93569613,6.11177245494653
