exp,sample,dpi,synID,comID,syncom,strain,taxa,channel,cfu
e2,2,07dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,1.11E+07
e2,3,07dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,1.37E+07
e2,4,07dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,1.11E+07
e1,1,14dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,1.89E+08
e1,2,14dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,1.18E+08
e1,3,14dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,7.99E+07
e1,4,14dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,1.79E+08
e2,1,14dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,6.54E+07
e2,2,14dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,1.24E+08
e2,3,14dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,9.73E+07
e2,4,14dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,8.91E+07
e1,1,07dpi,C,Com07,C.07,mr01,Methylobacterium,C0,2.82E+07
e1,2,07dpi,C,Com07,C.07,mr01,Methylobacterium,C0,8.41E+06
e1,3,07dpi,C,Com07,C.07,mr01,Methylobacterium,C0,6.13E+05
e1,4,07dpi,C,Com07,C.07,mr01,Methylobacterium,C0,9.52E+06
e2,1,07dpi,C,Com07,C.07,mr01,Methylobacterium,C0,3.19E+07
e2,2,07dpi,C,Com07,C.07,mr01,Methylobacterium,C0,3.82E+07
e2,3,07dpi,C,Com07,C.07,mr01,Methylobacterium,C0,3.02E+07
e2,4,07dpi,C,Com07,C.07,mr01,Methylobacterium,C0,4.93E+07
e1,1,07dpi,C,Com07,C.07,mr01,Methylobacterium,C1,1.54E+07
e1,2,07dpi,C,Com07,C.07,mr01,Methylobacterium,C1,4.09E+06
e1,3,07dpi,C,Com07,C.07,mr01,Methylobacterium,C1,3.85E+05
e1,4,07dpi,C,Com07,C.07,mr01,Methylobacterium,C1,1.16E+07
e2,1,07dpi,C,Com07,C.07,mr01,Methylobacterium,C1,1.92E+07
e2,2,07dpi,C,Com07,C.07,mr01,Methylobacterium,C1,4.46E+07
